0,16
0,64
0,83
0,73
0,25
0,60
0,29
1,9
1,67
1,92
1,29
1,45
2,99
2,21
3,8
3,73
3,59
3,61
3,95
4,34
4,20
4,98
4,91
4,18
4,47
5,94
5,41
5,72
5,57
5,43
5,76
5,12
6,52
6,93
7,48
7,97
7,75
7,85
7,24
7,88
7,25
7,91
7,79
8,11
8,59
8,84
8,69
9,34
9,69
9,86
9,15
10,18
10,99
10,85
10,71
10,75
10,89
10,87
10,34
10,95
11,67
11,20
11,26
11,91
11,61
11,79
12,34
12,44
12,15
13,48
13,20
13,67
13,91
13,68
14,65
14,91
14,21
14,69
14,71
15,32
15,57
15,95
16,17
16,70
16,49
16,72
16,74
17,50
17,83
17,100
17,28
17,61
17,46
18,32
18,19
18,39
18,56
18,89
20,37
20,91
20,93
21,90
21,45
22,59
22,85
23,28
23,61
24,47
24,50
24,63
24,69
26,80
26,30
26,85
26,71
26,42
26,45
26,78
26,47
27,79
27,87
28,64
28,99
28,38
28,78
28,81
29,36
29,33
29,31
29,63
30,37
30,46
31,92
32,49
32,83
32,36
32,56
32,57
32,77
33,44
34,64
34,51
34,85
34,86
34,73
34,36
35,81
35,82
35,59
36,64
36,83
36,56
37,99
37,69
37,39
37,92
38,82
38,45
38,47
39,56
40,48
41,51
41,88
41,63
41,45
41,46
41,79
42,73
42,58
43,71
43,51
43,60
43,101
44,67
44,46
45,82
45,53
46,99
46,90
46,95
48,89
49,93
49,73
50,94
50,95
51,61
51,63
52,58
54,60
54,77
55,97
55,91
56,88
56,100
57,64
58,80
58,97
58,62
59,93
59,63
60,68
62,70
64,84
64,88
65,98
65,99
66,87
67,85
67,71
68,89
68,69
69,74
69,79
70,90
72,73
72,75
73,78
73,83
73,94
75,94
77,83
78,95
79,99
82,100
83,95
84,88
85,96
85,92
87,99
87,93
88,93
92,94
93,96
100,101
